구분별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,전국거리두기,수도권거리두기,전체
2020. 03. 02,10,3,469,0,0,0,3,0,7,8,1,13,1,0,67,4,0,0,3,3,476
2020. 03. 04,1,3,405,2,2,1,3,0,7,1,0,1,0,0,89,1,0,0,3,3,516
2020. 03. 05,4,-1,321,0,1,1,0,0,9,2,1,4,0,-1,87,9,1,0,3,3,438
2020. 03. 06,2,3,367,0,-1,2,0,0,10,2,3,4,0,0,123,3,0,0,3,3,518
2020. 03. 07,3,1,390,0,0,0,0,1,10,1,5,2,0,0,65,5,0,0,3,3,483
2020. 03. 08,12,1,297,0,0,0,1,1,11,1,4,6,0,0,32,1,0,0,3,3,367
2020. 03. 09,10,-1,190,0,2,1,0,3,11,1,1,4,0,0,26,0,0,0,3,3,248
2020. 03. 10,11,0,92,4,0,-1,0,2,11,0,0,2,0,0,10,0,0,0,3,3,131
2020. 03. 11,52,2,131,12,0,0,1,2,12,1,2,8,0,0,18,1,0,0,3,3,242
2020. 03. 12,19,1,73,0,0,2,0,5,3,0,0,2,0,0,8,1,0,0,3,3,114
2020. 03. 13,13,1,61,2,0,2,2,17,7,0,0,1,0,0,4,0,0,0,3,3,110
2020. 03. 14,13,3,62,1,0,0,0,6,15,0,1,0,0,0,6,0,0,0,3,3,107
2020. 03. 15,9,3,41,2,1,0,1,1,11,0,3,0,0,0,4,0,0,0,3,3,76
2020. 03. 16,6,1,35,0,0,0,0,1,20,0,0,0,0,0,7,0,0,4,3,3,74
2020. 03. 17,12,0,32,1,0,0,0,0,31,0,0,0,0,0,5,1,0,2,3,3,84
2020. 03. 18,5,0,46,1,1,0,2,1,15,1,1,3,2,1,9,0,0,5,3,3,93
2020. 03. 19,12,0,97,0,0,0,6,0,18,0,1,0,1,0,12,0,0,5,3,3,152
2020. 03. 20,17,1,34,4,1,0,0,0,14,0,0,1,0,0,13,1,0,1,3,3,87
2020. 03. 21,15,0,69,4,0,0,0,0,12,0,1,0,0,0,40,0,0,6,3,3,147
2020. 03. 22,10,0,43,0,1,2,0,0,16,0,1,1,0,1,11,1,0,11,2.5,2.5,98
2020. 03. 23,6,1,24,0,0,0,0,1,14,0,2,0,0,0,2,1,0,13,2.5,2.5,64
2020. 03. 24,4,2,31,1,0,0,0,0,15,0,1,0,0,0,1,1,0,20,2.5,2.5,76
2020. 03. 25,13,1,14,1,0,0,1,2,21,1,0,3,0,2,5,0,2,34,2.5,2.5,100
2020. 03. 26,13,0,26,1,0,6,0,0,14,0,1,1,0,0,12,0,0,30,2.5,2.5,104
2020. 03. 27,12,1,34,3,1,1,2,0,11,0,2,0,0,0,9,1,1,13,2.5,2.5,91
2020. 03. 28,18,1,71,5,0,0,0,0,21,1,0,2,0,0,2,0,1,24,2.5,2.5,146
2020. 03. 29,20,3,23,7,0,3,0,2,15,2,0,1,2,1,2,3,0,21,2.5,2.5,105
2020. 03. 30,16,1,14,0,0,0,0,0,15,2,3,0,1,0,11,1,1,13,2.5,2.5,78
2020. 03. 31,24,1,60,6,0,2,0,0,13,0,0,1,0,0,2,1,0,15,2.5,2.5,125
2020. 04. 01,24,3,20,5,4,0,0,0,23,2,0,3,1,3,2,4,0,7,2.5,2.5,101
2020. 04. 02,14,0,21,4,1,0,1,0,17,1,0,2,0,2,2,6,0,18,2.5,2.5,89
2020. 04. 03,18,0,9,1,1,0,0,0,23,2,1,1,1,1,5,1,0,22,2.5,2.5,86
2020. 04. 04,22,0,27,3,0,0,0,0,23,1,0,1,0,0,1,1,0,15,2.5,2.5,94
